,id_1,id_2,id_3,id_4,id_5,id_6,id_7,id_8,id_9,id_10,id_11,id_12,id_13,id_14,id_15,id_16,id_17,id_18,id_19,id_20,id_21,id_22,id_23,id_24,id_25,id_26,id_27,id_28,id_29,id_30
id_1,0,2,0,2,2,2,13,0,0,1,0,2,0,0,0,0,0,0,4,4,4,0,0,0,4,1,0,2,2,0
id_2,2,0,3,1,6,2,5,0,6,6,5,1,3,0,3,6,2,3,2,2,1,0,2,3,7,2,6,5,3,1
id_3,0,3,0,1,0,3,4,0,2,2,2,1,2,0,1,4,1,1,2,0,0,0,2,0,4,0,5,1,3,0
id_4,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
id_5,2,6,0,0,0,3,3,0,2,2,1,7,2,0,0,1,1,1,2,0,1,0,1,1,1,2,0,3,3,0
id_6,2,2,3,1,3,0,4,0,5,3,1,1,1,1,0,3,2,5,0,1,2,0,4,4,1,3,5,1,0,0
id_7,13,5,4,0,3,4,0,0,1,1,2,7,2,1,0,0,2,1,2,5,0,0,2,5,4,1,7,5,2,1
id_8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
id_9,0,6,2,0,2,5,1,0,0,10,0,4,3,1,1,2,0,17,0,2,0,0,5,7,8,2,5,2,6,3
id_10,1,6,2,0,2,3,1,0,10,0,3,6,7,3,1,1,3,5,1,0,0,0,3,5,6,0,3,1,3,4
id_11,0,5,2,0,1,1,2,0,0,3,0,0,6,11,17,0,1,0,0,0,2,0,2,4,1,2,1,1,3,2
id_12,2,1,1,0,7,1,7,0,4,6,0,0,2,0,1,0,1,4,1,2,1,0,3,0,2,1,2,3,0,3
id_13,0,3,2,0,2,1,2,0,3,7,6,2,0,14,3,2,1,11,1,1,1,0,1,5,10,2,3,1,5,3
id_14,0,0,0,0,0,1,1,0,1,3,11,0,14,0,1,0,0,0,0,2,0,0,0,1,7,0,0,1,2,0
id_15,0,3,1,0,0,0,0,0,1,1,17,1,3,1,0,0,0,1,1,0,0,0,0,5,0,2,1,1,4,0
id_16,0,6,4,1,1,3,0,0,2,1,0,0,2,0,0,0,0,0,1,0,1,0,2,2,2,2,5,1,2,1
id_17,0,2,1,0,1,2,2,0,0,3,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,2
id_18,0,3,1,0,1,5,1,0,17,5,0,4,11,0,1,0,0,0,1,0,0,0,2,3,7,2,2,2,2,5
id_19,4,2,2,0,2,0,2,0,0,1,0,1,1,0,1,1,0,1,0,1,282,0,1,1,1,1,2,1,2,0
id_20,4,2,0,0,0,1,5,0,2,0,0,2,1,2,0,0,0,0,1,0,0,0,0,6,1,0,2,1,0,3
id_21,4,1,0,0,1,2,0,0,0,0,2,1,1,0,0,1,0,0,282,0,0,0,1,1,2,1,4,0,1,0
id_22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
id_23,0,2,2,0,1,4,2,0,5,3,2,3,1,0,0,2,0,2,1,0,1,1,0,4,2,0,3,6,1,3
id_24,0,3,0,0,1,4,5,0,7,5,4,0,5,1,5,2,1,3,1,6,1,0,4,0,5,1,3,4,2,5
id_25,4,7,4,0,1,1,4,0,8,6,1,2,10,7,0,2,0,7,1,1,2,0,2,5,0,2,13,4,6,4
id_26,1,2,0,0,2,3,1,0,2,0,2,1,2,0,2,2,1,2,1,0,1,0,0,1,2,0,3,3,4,1
id_27,0,6,5,0,0,5,7,0,5,3,1,2,3,0,1,5,2,2,2,2,4,0,3,3,13,3,0,1,8,1
id_28,2,5,1,0,3,1,5,0,2,1,1,3,1,1,1,1,0,2,1,1,0,0,6,4,4,3,1,0,1,4
id_29,2,3,3,0,3,0,2,0,6,3,3,0,5,2,4,2,0,2,2,0,1,0,1,2,6,4,8,1,0,0
id_30,0,1,0,0,0,0,1,0,3,4,2,3,3,0,0,1,2,5,0,3,0,0,3,5,4,1,1,4,0,0
